locid	date time	lat	lon	truevalue	yxyang@mit.edu	garthee@mit.edu	saclarke@mit.edu
54	5/14/12 16:00	42.347534	-71.075111	61	3	4	-7
55	5/14/12 16:00	42.35154	-71.065109	93	43	51	43
56	5/14/12 16:00	42.3592	-71.059608	76	21	14	10
57	5/14/12 16:00	42.354008	-71.062569	69	19	24	16
58	5/14/12 16:00	42.348522	-71.036064	0	-1	-1	-2
59	5/14/12 16:00	42.350712	-71.064713	101	50	62	51
60	5/14/12 16:00	42.351658	-71.049767	18	5	5	5
61	5/14/12 16:00	42.349987	-71.066193	80	42	49	45
62	5/14/12 16:00	42.359726	-71.053635	43	4	2	2
63	5/14/12 16:00	42.346439	-71.097244	18	0	8	0
64	5/14/12 16:00	42.346577	-71.04493	27	7	5	-21
65	5/14/12 16:00	42.315872	-71.065567	0	0	0	0
66	5/14/12 16:00	42.347626	-71.084206	131	35	43	11
67	5/14/12 16:00	42.365353	-71.055511	17	13	13	11
68	5/14/12 16:00	42.342808	-71.08567	15	4	4	2
69	5/14/12 16:00	42.353764	-71.04525	2	0	-3	-2
70	5/14/12 16:00	42.352856	-71.042946	1	-1	-2	-2
71	5/15/12 15:00	42.365353	-71.055511	3	0	0	0
72	5/21/12 5:00	42.346577	-71.04493	4	-8	-5	-4
73	5/21/12 6:00	42.350712	-71.064713	52	16	15	6
74	5/21/12 15:00	42.352856	-71.042946	1	-3	-6	-2
75	5/24/12 16:00	42.343365	-71.057114	5	-3	0	-3
76	5/24/12 16:00	42.344254	-71.02861	1	-1	1	0
77	5/24/12 16:00	42.350315	-71.064461	44	10	20	-2
78	5/24/12 16:00	42.300732	-71.114105	21	-4	3	-6
79	5/24/12 16:00	42.366261	-71.062103	33	7	10	3
80	5/24/12 16:00	42.366631	-71.016518	43	1	0	-4
81	5/24/12 16:00	42.351818	-71.055138	131	8	23	-8
82	5/24/12 16:00	42.360039	-71.056213	75	13	1	-1
83	5/24/12 16:00	42.358086	-71.127762	0	0	0	0
84	5/24/12 16:00	42.350483	-71.06559	40	7	13	-5
85	5/24/12 16:00	42.346043	-71.040916	1	-5	-5	-5
86	5/24/12 16:00	42.351776	-71.040306	3	1	1	0
87	5/24/12 16:00	42.359219	-71.04924	11	1	0	-6
88	5/24/12 16:00	42.355457	-71.060493	35	7	10	-2
89	5/24/12 16:00	42.347263	-71.073502	10	2	6	2
90	5/24/12 16:00	42.357574	-71.056396	100	9	-3	-10
91	5/24/12 16:00	42.345394	-71.051659	5	2	3	1
92	5/24/12 16:00	42.329704	-71.083717	0	0	0	0
93	5/24/12 16:00	42.347534	-71.075111	61	9	9	2
94	5/24/12 16:00	42.35154	-71.065109	40	7	14	-5
95	5/24/12 16:00	42.3592	-71.059608	45	-8	-15	-20
96	5/24/12 16:00	42.354008	-71.062569	38	9	13	-7
97	5/24/12 16:00	42.348522	-71.036064	0	-2	0	-2
98	5/24/12 16:00	42.350712	-71.064713	46	13	17	-2
99	5/24/12 16:00	42.351658	-71.049767	10	-3	-3	-1
100	5/24/12 16:00	42.349987	-71.066193	31	2	13	-6
101	5/24/12 16:00	42.359726	-71.053635	44	8	0	-1
102	5/24/12 16:00	42.346439	-71.097244	26	13	11	10
103	5/24/12 16:00	42.346577	-71.04493	18	-8	-10	-20
104	5/24/12 16:00	42.315872	-71.065567	0	0	0	0
105	5/24/12 16:00	42.347626	-71.084206	111	20	21	1
106	5/24/12 16:00	42.365353	-71.055511	7	3	7	3
107	5/24/12 16:00	42.342808	-71.08567	9	1	-1	-3
108	5/24/12 16:00	42.353764	-71.04525	4	1	1	0
109	5/24/12 16:00	42.352856	-71.042946	5	2	3	1
110	6/4/12 8:00	42.343365	-71.057114	10	6	5	5
111	6/4/12 8:00	42.344254	-71.02861	0	-1	0	0
112	6/4/12 8:00	42.350315	-71.064461	57	9	-1	-5
113	6/4/12 8:00	42.300732	-71.114105	22	3	0	0
114	6/4/12 8:00	42.366261	-71.062103	73	9	26	9
115	6/4/12 8:00	42.366631	-71.016518	59	-5	-8	7
116	6/4/12 8:00	42.351818	-71.055138	109	24	30	23
117	6/4/12 8:00	42.360039	-71.056213	23	-6	-5	-7
118	6/4/12 8:00	42.358086	-71.127762	0	0	0	0
119	6/4/12 8:00	42.350483	-71.06559	63	12	6	1
120	6/4/12 8:00	42.346043	-71.040916	3	-1	-2	-1
121	6/4/12 8:00	42.351776	-71.040306	3	2	1	1
122	6/4/12 8:00	42.359219	-71.04924	29	7	0	3
123	6/4/12 8:00	42.355457	-71.060493	21	-11	-4	-11
124	6/4/12 8:00	42.347263	-71.073502	12	3	-2	-1
125	6/4/12 8:00	42.357574	-71.056396	33	-14	-14	-12
126	6/4/12 8:00	42.345394	-71.051659	3	1	-1	-1
127	6/4/12 8:00	42.329704	-71.083717	0	0	0	0
128	6/4/12 8:00	42.347534	-71.075111	70	17	9	13
129	6/4/12 8:00	42.35154	-71.065109	47	0	-5	-15
130	6/4/12 8:00	42.3592	-71.059608	62	10	6	7
131	6/4/12 8:00	42.354008	-71.062569	56	10	8	8
132	6/4/12 8:00	42.348522	-71.036064	2	1	1	2
133	6/4/12 8:00	42.350712	-71.064713	61	11	0	-5
134	6/4/12 8:00	42.351658	-71.049767	8	2	0	-2
135	6/4/12 8:00	42.349987	-71.066193	58	10	8	4
136	6/4/12 8:00	42.359726	-71.053635	31	2	2	-1
137	6/4/12 8:00	42.346439	-71.097244	27	5	4	5
138	6/4/12 8:00	42.346577	-71.04493	18	-1	-10	-10
139	6/4/12 8:00	42.315872	-71.065567	0	0	0	0
140	6/4/12 8:00	42.347626	-71.084206	63	2	-4	-9
141	6/4/12 8:00	42.365353	-71.055511	7	2	2	2
142	6/4/12 8:00	42.342808	-71.08567	17	1	2	0
143	6/4/12 8:00	42.353764	-71.04525	1	-1	0	0
144	6/4/12 8:00	42.352856	-71.042946	0	0	0	0
145	6/4/12 11:00	42.346439	-71.097244	15	-3	-4	-1
146	6/5/12 19:00	42.343365	-71.057114	3	-1	-2	-2
147	6/5/12 19:00	42.344254	-71.02861	1	1	0	1
148	6/5/12 19:00	42.350315	-71.064461	47	6	9	5
149	6/5/12 19:00	42.300732	-71.114105	26	-2	-2	-6
150	6/5/12 19:00	42.366261	-71.062103	22	-1	0	-5
151	6/5/12 19:00	42.366631	-71.016518	62	24	13	22
152	6/5/12 19:00	42.351818	-71.055138	113	8	-22	-23
153	6/5/12 19:00	42.360039	-71.056213	114	14	13	20
154	6/5/12 19:00	42.358086	-71.127762	0	0	0	0
155	6/5/12 19:00	42.350483	-71.06559	44	-2	-2	4
156	6/5/12 19:00	42.346043	-71.040916	9	3	1	3
157	6/5/12 19:00	42.351776	-71.040306	12	8	7	6
158	6/5/12 19:00	42.359219	-71.04924	6	-7	-10	-12
159	6/5/12 19:00	42.355457	-71.060493	57	16	12	17
160	6/5/12 19:00	42.347263	-71.073502	24	10	7	4
161	6/5/12 19:00	42.357574	-71.056396	132	20	10	20
162	6/5/12 19:00	42.345394	-71.051659	1	-1	-1	-1
163	6/5/12 19:00	42.329704	-71.083717	0	0	0	0
164	6/5/12 19:00	42.347534	-71.075111	79	11	0	-1
165	6/5/12 19:00	42.35154	-71.065109	56	6	5	2
166	6/5/12 19:00	42.3592	-71.059608	57	6	-8	-1
167	6/5/12 19:00	42.354008	-71.062569	77	26	17	21
168	6/5/12 19:00	42.348522	-71.036064	6	-5	-7	-6
169	6/5/12 19:00	42.350712	-71.064713	52	7	10	8
170	6/5/12 19:00	42.351658	-71.049767	13	0	-2	-4
171	6/5/12 19:00	42.349987	-71.066193	34	-1	-5	-2
172	6/5/12 19:00	42.359726	-71.053635	74	22	16	22
173	6/5/12 19:00	42.346439	-71.097244	62	22	13	18
174	6/5/12 19:00	42.346577	-71.04493	63	27	25	29
175	6/5/12 19:00	42.315872	-71.065567	0	0	0	0
176	6/5/12 19:00	42.347626	-71.084206	139	1	-21	-3
177	6/5/12 19:00	42.365353	-71.055511	22	-13	-9	-9
178	6/5/12 19:00	42.342808	-71.08567	16	2	-1	1
179	6/5/12 19:00	42.353764	-71.04525	5	0	0	0
180	6/5/12 19:00	42.352856	-71.042946	13	6	5	2
181	6/20/12 14:00	42.300732	-71.114105	26	1	-2	2
182	7/7/12 18:00	42.350712	-71.064713	85	26	31	25
183	7/10/12 7:00	42.343365	-71.057114	1	-3	-4	-4
184	7/10/12 7:00	42.344254	-71.02861	0	-1	0	0
185	7/10/12 7:00	42.350315	-71.064461	87	17	28	23
186	7/10/12 7:00	42.300732	-71.114105	19	7	2	1
187	7/10/12 7:00	42.366261	-71.062103	66	19	15	17
188	7/10/12 7:00	42.366631	-71.016518	53	12	13	20
189	7/10/12 7:00	42.351818	-71.055138	63	5	7	7
190	7/10/12 7:00	42.360039	-71.056213	23	11	4	4
191	7/10/12 7:00	42.358086	-71.127762	0	0	0	0
192	7/10/12 7:00	42.350483	-71.06559	74	10	19	16
193	7/10/12 7:00	42.346043	-71.040916	7	4	5	2
194	7/10/12 7:00	42.351776	-71.040306	0	-1	0	-1
195	7/10/12 7:00	42.359219	-71.04924	39	10	13	16
196	7/10/12 7:00	42.355457	-71.060493	7	-12	-14	-15
197	7/10/12 7:00	42.347263	-71.073502	8	-1	-3	-2
198	7/10/12 7:00	42.357574	-71.056396	33	9	0	-3
199	7/10/12 7:00	42.345394	-71.051659	1	-2	-2	-2
200	7/10/12 7:00	42.329704	-71.083717	0	0	0	0
201	7/10/12 7:00	42.347534	-71.075111	36	-8	-8	-13
202	7/10/12 7:00	42.35154	-71.065109	70	6	19	22
203	7/10/12 7:00	42.3592	-71.059608	39	1	5	-2
204	7/10/12 7:00	42.354008	-71.062569	19	-11	-12	-19
205	7/10/12 7:00	42.348522	-71.036064	0	0	-1	0
206	7/10/12 7:00	42.350712	-71.064713	89	18	29	30
207	7/10/12 7:00	42.351658	-71.049767	5	1	1	1
208	7/10/12 7:00	42.349987	-71.066193	68	12	19	8
209	7/10/12 7:00	42.359726	-71.053635	16	-6	-5	-8
210	7/10/12 7:00	42.346439	-71.097244	16	-2	-3	-1
211	7/10/12 7:00	42.346577	-71.04493	20	3	0	-6
212	7/10/12 7:00	42.315872	-71.065567	0	0	0	0
213	7/10/12 7:00	42.347626	-71.084206	81	22	19	21
214	7/10/12 7:00	42.365353	-71.055511	2	-2	-2	-2
215	7/10/12 7:00	42.342808	-71.08567	16	5	6	6
216	7/10/12 7:00	42.353764	-71.04525	0	0	0	0
217	7/10/12 7:00	42.352856	-71.042946	0	0	0	0
218	7/18/12 4:00	42.343365	-71.057114	2	0	-1	1
219	7/18/12 4:00	42.344254	-71.02861	0	0	0	0
220	7/18/12 4:00	42.350315	-71.064461	15	7	6	-2
221	7/18/12 4:00	42.300732	-71.114105	4	0	0	1
222	7/18/12 4:00	42.366261	-71.062103	1	1	1	-1
223	7/18/12 4:00	42.366631	-71.016518	5	-8	-4	-4
224	7/18/12 4:00	42.351818	-71.055138	1	-11	-10	-15
225	7/18/12 4:00	42.360039	-71.056213	1	-3	-1	-3
226	7/18/12 4:00	42.358086	-71.127762	0	0	0	0
227	7/18/12 4:00	42.350483	-71.06559	15	8	7	1
228	7/18/12 4:00	42.346043	-71.040916	1	0	1	0
229	7/18/12 4:00	42.351776	-71.040306	0	0	0	0
230	7/18/12 4:00	42.359219	-71.04924	6	-2	0	1
231	7/18/12 4:00	42.355457	-71.060493	6	1	2	0
232	7/18/12 4:00	42.347263	-71.073502	3	0	1	0
233	7/18/12 4:00	42.357574	-71.056396	3	-2	0	0
234	7/18/12 4:00	42.345394	-71.051659	1	1	0	1
235	7/18/12 4:00	42.329704	-71.083717	0	0	0	0
236	7/18/12 4:00	42.347534	-71.075111	12	4	7	4
237	7/18/12 4:00	42.35154	-71.065109	16	9	10	0
238	7/18/12 4:00	42.3592	-71.059608	6	-2	-2	0
239	7/18/12 4:00	42.354008	-71.062569	11	-1	1	3
240	7/18/12 4:00	42.348522	-71.036064	0	0	0	0
241	7/18/12 4:00	42.350712	-71.064713	15	6	5	-2
242	7/18/12 4:00	42.351658	-71.049767	2	1	2	1
243	7/18/12 4:00	42.349987	-71.066193	11	5	3	-2
244	7/18/12 4:00	42.359726	-71.053635	3	-3	-3	-4
245	7/18/12 4:00	42.346439	-71.097244	2	-3	-4	-3
246	7/18/12 4:00	42.346577	-71.04493	6	4	1	4
247	7/18/12 4:00	42.315872	-71.065567	0	0	0	0
248	7/18/12 4:00	42.347626	-71.084206	10	-2	-1	-4
249	7/18/12 4:00	42.365353	-71.055511	1	-2	-1	-1
250	7/18/12 4:00	42.342808	-71.08567	4	0	1	1
251	7/18/12 4:00	42.353764	-71.04525	0	0	0	0
252	7/18/12 4:00	42.352856	-71.042946	0	0	-1	0
253	8/1/12 13:00	42.343365	-71.057114	1	-3	-3	-3
254	8/7/12 3:00	42.349987	-71.066193	10	7	6	5
255	8/19/12 11:00	42.343365	-71.057114	0	-2	-1	-1
256	8/19/12 11:00	42.344254	-71.02861	1	1	-2	0
257	8/19/12 11:00	42.350315	-71.064461	7	-5	3	0
258	8/19/12 11:00	42.300732	-71.114105	0	-7	-2	-1
259	8/19/12 11:00	42.366261	-71.062103	3	1	2	2
260	8/19/12 11:00	42.366631	-71.016518	3	-1	0	0
261	8/19/12 11:00	42.351818	-71.055138	8	-7	1	-3
262	8/19/12 11:00	42.360039	-71.056213	0	-8	-3	-4
263	8/19/12 11:00	42.358086	-71.127762	0	0	0	0
264	8/19/12 11:00	42.350483	-71.06559	7	-4	3	0
265	8/19/12 11:00	42.346043	-71.040916	2	2	2	1
266	8/19/12 11:00	42.351776	-71.040306	0	-1	0	0
267	8/19/12 11:00	42.359219	-71.04924	3	-3	1	1
268	8/19/12 11:00	42.355457	-71.060493	1	-7	-1	-2
269	8/19/12 11:00	42.347263	-71.073502	2	0	2	0
270	8/19/12 11:00	42.357574	-71.056396	0	-4	-2	-3
271	8/19/12 11:00	42.345394	-71.051659	1	0	1	1
272	8/19/12 11:00	42.329704	-71.083717	0	0	0	0
273	8/19/12 11:00	42.347534	-71.075111	6	1	2	2
274	8/19/12 11:00	42.35154	-71.065109	5	-6	1	-1
275	8/19/12 11:00	42.3592	-71.059608	1	-8	-1	-4
276	8/19/12 11:00	42.354008	-71.062569	5	-3	2	-1
277	8/19/12 11:00	42.348522	-71.036064	0	-1	0	0
278	8/19/12 11:00	42.350712	-71.064713	8	-4	4	1
279	8/19/12 11:00	42.351658	-71.049767	0	-1	-1	-1
280	8/19/12 11:00	42.349987	-71.066193	6	-3	1	1
281	8/19/12 11:00	42.359726	-71.053635	0	-7	-3	-4
282	8/19/12 11:00	42.346439	-71.097244	2	0	0	-2
283	8/19/12 11:00	42.346577	-71.04493	7	2	4	5
284	8/19/12 11:00	42.315872	-71.065567	0	0	0	0
285	8/19/12 11:00	42.347626	-71.084206	7	-5	1	-7
286	8/19/12 11:00	42.365353	-71.055511	0	-1	0	-1
287	8/19/12 11:00	42.342808	-71.08567	1	-2	0	-1
288	8/19/12 11:00	42.353764	-71.04525	0	0	0	0
289	8/19/12 11:00	42.352856	-71.042946	0	-1	0	0
290	8/22/12 4:00	42.343365	-71.057114	0	-1	0	0
291	8/22/12 4:00	42.344254	-71.02861	0	0	0	0
292	8/22/12 4:00	42.350315	-71.064461	1	-1	0	0
293	8/22/12 4:00	42.300732	-71.114105	1	0	1	1
294	8/22/12 4:00	42.366261	-71.062103	0	1	0	-1
295	8/22/12 4:00	42.366631	-71.016518	0	-1	-2	0
296	8/22/12 4:00	42.351818	-71.055138	1	-2	1	-3
297	8/22/12 4:00	42.360039	-71.056213	0	-1	-1	0
298	8/22/12 4:00	42.358086	-71.127762	0	0	0	0
299	8/22/12 4:00	42.350483	-71.06559	1	0	0	1
300	8/22/12 4:00	42.346043	-71.040916	1	1	1	1
301	8/22/12 4:00	42.351776	-71.040306	0	0	0	0
302	8/22/12 4:00	42.359219	-71.04924	0	-1	-1	0
303	8/22/12 4:00	42.355457	-71.060493	1	0	1	1
304	8/22/12 4:00	42.347263	-71.073502	0	-1	0	0
305	8/22/12 4:00	42.357574	-71.056396	0	-1	0	-1
306	8/22/12 4:00	42.345394	-71.051659	1	0	1	1
307	8/22/12 4:00	42.329704	-71.083717	0	0	0	0
308	8/22/12 4:00	42.347534	-71.075111	0	-1	0	0
309	8/22/12 4:00	42.35154	-71.065109	1	0	0	1
310	8/22/12 4:00	42.3592	-71.059608	1	0	1	0
311	8/22/12 4:00	42.354008	-71.062569	0	-4	0	-1
312	8/22/12 4:00	42.348522	-71.036064	0	0	0	0
313	8/22/12 4:00	42.350712	-71.064713	2	1	1	2
314	8/22/12 4:00	42.351658	-71.049767	0	0	0	0
315	8/22/12 4:00	42.349987	-71.066193	1	0	0	0
316	8/22/12 4:00	42.359726	-71.053635	0	-1	-1	0
317	8/22/12 4:00	42.346439	-71.097244	1	0	0	1
318	8/22/12 4:00	42.346577	-71.04493	0	-1	-1	0
319	8/22/12 4:00	42.315872	-71.065567	0	0	0	0
320	8/22/12 4:00	42.347626	-71.084206	1	-2	0	1
321	8/22/12 4:00	42.365353	-71.055511	0	0	0	0
322	8/22/12 4:00	42.342808	-71.08567	0	-1	-1	0
323	8/22/12 4:00	42.353764	-71.04525	0	0	0	0
324	8/22/12 4:00	42.352856	-71.042946	0	0	0	0
325	9/6/12 16:00	42.343365	-71.057114	12	8	7	6
326	9/6/12 16:00	42.344254	-71.02861	1	1	-1	0
327	9/6/12 16:00	42.350315	-71.064461	41	3	2	1
328	9/6/12 16:00	42.300732	-71.114105	22	0	-1	-1
329	9/6/12 16:00	42.366261	-71.062103	21	-3	-8	-9
330	9/6/12 16:00	42.366631	-71.016518	23	-15	-20	-19
331	9/6/12 16:00	42.351818	-71.055138	148	10	8	18
332	9/6/12 16:00	42.360039	-71.056213	71	1	-2	-4
333	9/6/12 16:00	42.358086	-71.127762	0	0	0	0
334	9/6/12 16:00	42.350483	-71.06559	43	2	7	3
335	9/6/12 16:00	42.346043	-71.040916	0	-7	-3	-6
336	9/6/12 16:00	42.351776	-71.040306	5	3	2	1
337	9/6/12 16:00	42.359219	-71.04924	15	-4	-2	-3
338	9/6/12 16:00	42.355457	-71.060493	34	1	-1	-4
339	9/6/12 16:00	42.347263	-71.073502	8	0	-3	-2
340	9/6/12 16:00	42.357574	-71.056396	111	15	-5	2
341	9/6/12 16:00	42.345394	-71.051659	3	0	1	-3
342	9/6/12 16:00	42.329704	-71.083717	0	0	0	0
343	9/6/12 16:00	42.347534	-71.075111	60	3	-2	-1
344	9/6/12 16:00	42.35154	-71.065109	42	-9	1	0
345	9/6/12 16:00	42.3592	-71.059608	69	8	0	-5
346	9/6/12 16:00	42.354008	-71.062569	46	-1	-2	-4
347	9/6/12 16:00	42.348522	-71.036064	1	-1	0	-2
348	9/6/12 16:00	42.350712	-71.064713	45	0	4	1
349	9/6/12 16:00	42.351658	-71.049767	12	-1	1	1
350	9/6/12 16:00	42.349987	-71.066193	36	-1	6	5
351	9/6/12 16:00	42.359726	-71.053635	51	6	7	12
352	9/6/12 16:00	42.346439	-71.097244	26	8	8	10
353	9/6/12 16:00	42.346577	-71.04493	38	8	8	-21
354	9/6/12 16:00	42.315872	-71.065567	0	0	0	0
355	9/6/12 16:00	42.347626	-71.084206	96	-25	-20	-14
356	9/6/12 16:00	42.365353	-71.055511	10	6	7	3
357	9/6/12 16:00	42.342808	-71.08567	12	2	1	-1
358	9/6/12 16:00	42.353764	-71.04525	3	1	-2	-1
359	9/6/12 16:00	42.352856	-71.042946	2	0	-1	-1
360	9/11/12 19:00	42.343365	-71.057114	4	-1	1	-2
361	9/11/12 19:00	42.344254	-71.02861	1	1	1	1
362	9/11/12 19:00	42.350315	-71.064461	35	-2	-7	-12
363	9/11/12 19:00	42.300732	-71.114105	37	14	9	3
364	9/11/12 19:00	42.366261	-71.062103	24	-1	4	-2
365	9/11/12 19:00	42.366631	-71.016518	51	17	23	7
366	9/11/12 19:00	42.351818	-71.055138	117	23	7	-9
367	9/11/12 19:00	42.360039	-71.056213	98	-3	0	2
368	9/11/12 19:00	42.358086	-71.127762	0	0	0	0
369	9/11/12 19:00	42.350483	-71.06559	40	2	-1	-5
370	9/11/12 19:00	42.346043	-71.040916	2	-2	-2	-2
371	9/11/12 19:00	42.351776	-71.040306	0	-4	-4	-3
372	9/11/12 19:00	42.359219	-71.04924	12	1	-2	-8
373	9/11/12 19:00	42.355457	-71.060493	56	15	16	8
374	9/11/12 19:00	42.347263	-71.073502	18	2	-3	2
375	9/11/12 19:00	42.357574	-71.056396	136	22	18	11
376	9/11/12 19:00	42.345394	-71.051659	3	1	2	0
377	9/11/12 19:00	42.329704	-71.083717	0	0	0	0
378	9/11/12 19:00	42.347534	-71.075111	87	23	15	8
379	9/11/12 19:00	42.35154	-71.065109	51	4	-2	-9
380	9/11/12 19:00	42.3592	-71.059608	64	7	7	-6
381	9/11/12 19:00	42.354008	-71.062569	62	8	4	0
382	9/11/12 19:00	42.348522	-71.036064	9	0	1	1
383	9/11/12 19:00	42.350712	-71.064713	38	-3	-6	-13
384	9/11/12 19:00	42.351658	-71.049767	12	0	0	-3
385	9/11/12 19:00	42.349987	-71.066193	33	1	-1	-5
386	9/11/12 19:00	42.359726	-71.053635	50	2	-2	0
387	9/11/12 19:00	42.346439	-71.097244	86	40	11	48
388	9/11/12 19:00	42.346577	-71.04493	40	28	24	15
389	9/11/12 19:00	42.315872	-71.065567	0	0	0	0
390	9/11/12 19:00	42.347626	-71.084206	134	5	-3	12
391	9/11/12 19:00	42.365353	-71.055511	29	-3	8	4
392	9/11/12 19:00	42.342808	-71.08567	10	-4	-3	-8
393	9/11/12 19:00	42.353764	-71.04525	5	2	1	0
394	9/11/12 19:00	42.352856	-71.042946	2	-4	-3	-7
395	9/15/12 11:00	42.343365	-71.057114	3	-1	0	-1
396	9/15/12 11:00	42.344254	-71.02861	0	1	0	-1
397	9/15/12 11:00	42.350315	-71.064461	43	4	4	2
398	9/15/12 11:00	42.300732	-71.114105	17	1	3	-1
399	9/15/12 11:00	42.366261	-71.062103	21	4	0	-1
400	9/15/12 11:00	42.366631	-71.016518	11	-2	-1	-7
401	9/15/12 11:00	42.351818	-71.055138	76	0	-9	5
402	9/15/12 11:00	42.360039	-71.056213	27	-5	-5	-15
403	9/15/12 11:00	42.358086	-71.127762	0	0	0	0
404	9/15/12 11:00	42.350483	-71.06559	33	4	-2	-9
405	9/15/12 11:00	42.346043	-71.040916	2	-1	0	-1
406	9/15/12 11:00	42.351776	-71.040306	1	-1	-1	-1
407	9/15/12 11:00	42.359219	-71.04924	28	7	5	6
408	9/15/12 11:00	42.355457	-71.060493	26	-3	-5	0
409	9/15/12 11:00	42.347263	-71.073502	3	-4	-4	-5
410	9/15/12 11:00	42.357574	-71.056396	18	4	0	-6
411	9/15/12 11:00	42.345394	-71.051659	1	-1	0	0
412	9/15/12 11:00	42.329704	-71.083717	0	0	0	0
413	9/15/12 11:00	42.347534	-71.075111	47	6	4	5
414	9/15/12 11:00	42.35154	-71.065109	37	4	-3	-1
415	9/15/12 11:00	42.3592	-71.059608	18	-13	-17	-14
416	9/15/12 11:00	42.354008	-71.062569	42	-4	-5	1
417	9/15/12 11:00	42.348522	-71.036064	0	-2	0	-1
418	9/15/12 11:00	42.350712	-71.064713	46	8	7	4
419	9/15/12 11:00	42.351658	-71.049767	4	-1	-1	0
420	9/15/12 11:00	42.349987	-71.066193	29	4	0	-7
421	9/15/12 11:00	42.359726	-71.053635	27	3	0	-3
422	9/15/12 11:00	42.346439	-71.097244	16	-4	2	0
423	9/15/12 11:00	42.346577	-71.04493	71	32	46	51
424	9/15/12 11:00	42.315872	-71.065567	0	0	0	0
425	9/15/12 11:00	42.347626	-71.084206	67	-3	9	-3
426	9/15/12 11:00	42.365353	-71.055511	7	2	0	1
427	9/15/12 11:00	42.342808	-71.08567	17	1	-1	2
428	9/15/12 11:00	42.353764	-71.04525	0	-1	-1	-1
429	9/15/12 11:00	42.352856	-71.042946	0	-1	-2	-2
430	9/29/12 20:00	42.343365	-71.057114	13	3	1	-1
431	9/29/12 20:00	42.344254	-71.02861	2	1	1	-1
432	9/29/12 20:00	42.350315	-71.064461	126	33	18	38
433	9/29/12 20:00	42.300732	-71.114105	46	12	6	3
434	9/29/12 20:00	42.366261	-71.062103	36	4	-2	-8
